"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Advanced Intrusion Detection in MANETs: A Survey of Machine Learning and Optimization Techniques for Mitigating Black/Gray Hole Attacks","S. M. Hassan; M. M. Mohamad; F. B. Muchtar","Faculty of Computing, Universiti Teknologi Malaysia, Johor Bahru, Johor, Malaysia; Faculty of Computing, Universiti Teknologi Malaysia, Johor Bahru, Johor, Malaysia; Faculty of Computing, Universiti Teknologi Malaysia, Johor Bahru, Johor, Malaysia",IEEE Access,"17 Oct 2024","2024","12","","150046","150090","Mobile Ad Hoc Networks (MANETs) are dynamic networks without fixed infrastructure, making them particularly vulnerable to security threats such as black and gray hole attacks. As these attacks grow more sophisticated, advancing detection methods become critical. This survey critically evaluates existing detection techniques and identifies major gaps in current research. It focuses on a comprehensive classification and in-depth analysis of attack detection methods, particularly those employing advanced Machine Learning techniques. We adopt a structured approach, analyzing MANET characteristics and detailing black and gray hole attacks. The evaluation covers various detection and mitigation techniques, with a strong emphasis on the innovative use of ML and optimization methods like Federated Learning (FL), reinforcement learning, and metaheuristic algorithms. Our findings indicate that advanced ML techniques, especially Long Short-Term Memory (LSTM) networks and FL, significantly enhance detection accuracy and robustness against these attacks. We also discussed the potential of game theory and reinforcement learning for optimizing routing protocols and improving network resilience. The survey underscores the necessity for ongoing research into more sophisticated and adaptable detection mechanisms, urging both academic and practical communities to explore novel approaches for developing more secure, efficient MANET systems.","2169-3536","","10.1109/ACCESS.2024.3457682","Universiti Teknologi Malaysia(grant numbers:Q.J130000.5028.10G12); PEMBANGUNAN SISTEM PEMANTAUAN DAN PERAMALAN PENYELENGGARAAN SENI BINA WARISAN BERASASKAN IoT; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670401","Mobile ad hoc networks (MANETs);blackhole attacks;gray hole attacks machine learning in network security;federated learning (FL);optimization techniques in security","Mobile computing;Routing;Surveys;Routing protocols;Optimization;Long short term memory;Mobile ad hoc networks;Machine learning;Network security;Federated learning;Optimization methods","","2","","202","CCBYNCND","10 Sep 2024","","","IEEE","IEEE Journals"
"Age of Twin (AoT): A New Digital Twin Qualifier for 6G Ecosystem","K. Duran; M. Özdem; T. Hoang; T. Q. Duong; B. Canberk","Edinburgh Napier University, UK; Turk Telekom, Turkey; Ho Chi Minh City University of Technology (HCMUT)-Vietnam National University, Vietnam; Memorial University of Newfoundland, Canada; Edinburgh Napier University, UK",IEEE Internet of Things Magazine,"18 Dec 2023","2023","6","4","138","143","With the enhanced zero-touch operation and service management capabilities of digital twin technology, network management authorities have started implementing digital twin modeling. They achieve descriptive, predictive, and prescriptive twinning with rule-based replication and pre-defined synchronization mechanisms. However, it is not possible to reach out to the extreme needs of the sixth generation (6G) services, such as ultra-high data density (uHDD) and event-defined ultra-reliable low latency communication (EDuRLLC) services, with these traditional twin modeling methods. This is because these 6G services require cognitive abilities to manage twin-to-twin interactions by enabling extreme connectivity. For this reason, we propose a new digital twin modeling qualifier, age of twin (AoT), to measure the digital twin data freshness, especially to use in 6G deployments. In AoT formation, we consider device density, packet deadlines, link capacity, and buffer size metrics by relating to the three V of big data characteristics; velocity, volume, and variety. Besides, we form an AoT umbrella to cover topology-wise, service-type-wise, and traffic-type-wise digital twin modeling needs. We perform the AoT-based twin modeling for each AoT class and converge to an AoT value. According to the results, the high twinning rate contributes to increased data freshness and, thus, near-zero AoT value.","2576-3199","","10.1109/IOTM.001.2300113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10364356","","6G mobile communication;Performance evaluation;Data integrity;Ecosystems;Ultra reliable low latency communication;Big Data;Data models","","2","","15","IEEE","18 Dec 2023","","","IEEE","IEEE Magazines"
"Cybersecurity Solutions and Techniques for Internet of Things Integration in Combat Systems","A. Pasdar; N. Koroniotis; M. Keshk; N. Moustafa; Z. Tari","School of Systems & Computing, University of New South Wales, ACT, Australia; School of Systems & Computing, University of New South Wales, ACT, Australia; School of Systems & Computing, University of New South Wales, ACT, Australia; School of Systems & Computing, University of New South Wales, ACT, Australia; School of Computing Technologies, Centre of Cyber Security Research & Innovation (CCSRI), RMIT University, VIC, Australia",IEEE Transactions on Sustainable Computing,"","2024","PP","99","1","20","The Internet of Things (IoT) has enabled pervasive networking and multi-modal sensing, offering various services such as remote operations and augmenting existing processes. The military setting has increasingly and notably adopted IoT technologies, such as sensor-rich drones or autonomous vehicles, which provide military personnel with enhanced situational awareness, faster decision-making capabilities, and improved operational precision. However, integrating IoT into military systems introduces new security challenges due to increased connectivity and susceptibility to vulnerabilities. Cyberattacks on military IoT systems can have severe consequences, including operational disruptions and compromises of sensitive information. This article proposes a new perspective on examining threat models in IoT-enhanced combat systems, emphasising approaches for identifying threats, conducting vulnerability assessments, and suggesting countermeasures. It delves into the characteristics and structures of IoT-enhanced combat systems, exploring technical implementations and technologies. Additionally, it outlines five significant areas of focus, including blockchain, machine learning, game theory, protocols, and algorithms, to enhance understanding of IoT-enhanced combat systems. The insights gained from this analysis can inform the development of secure and resilient military IoT systems, ultimately enhancing the safety and effectiveness of military operations.","2377-3782","","10.1109/TSUSC.2024.3443256","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10636816","Combat systems;cyber threat models;internet of battle things;internet of military things;Internet of Things","Security;Internet of Things;Threat modeling;Unified modeling language;Resilience;Prevention and mitigation;Green computing","","2","","","IEEE","14 Aug 2024","","","IEEE","IEEE Early Access Articles"
"Mitigating Challenges of the Space Environment for Onboard Artificial Intelligence: Design Overview of the Imaging Payload on SpIRIT","M. O. Del Castillo; J. Morgan; J. McRobbie; C. Therakam; Z. Joukhadar; R. Mearns; S. Barraclough; R. Sinnott; A. Woods; C. Bayliss; K. Ehinger; B. Rubinstein; J. Bailey; A. Chapman; M. Trenti",The University of Melbourne; The University of Melbourne; The University of Melbourne; The University of Melbourne; The University of Melbourne; The University of Melbourne; The University of Melbourne; The University of Melbourne; The University of Melbourne; The University of Melbourne; The University of Melbourne; The University of Melbourne; The University of Melbourne; The University of Melbourne; The University of Melbourne,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),"27 Sep 2024","2024","","","6789","6798","Artificial intelligence (AI) and autonomous edge computing in space are emerging areas of interest to augment capabilities of nanosatellites, where modern sensors generate orders of magnitude more data than can typically be transmitted to mission control. Here, we present the hardware and software design of an onboard AI subsystem hosted on SpIRIT. The system is optimised for on-board computer vision experiments based on visible light and long wave infrared cameras. This paper highlights the key design choices made to maximise the robustness of the system in harsh space conditions, and their motivation relative to key mission requirements, such as limited compute resources, resilience to cosmic radiation, extreme temperature variations, distribution shifts, and very low transmission bandwidths. The payload, called Loris, consists of six visible light cameras, three infrared cameras, a camera control board and a Graphics Processing Unit (GPU) system-on-module. Loris enables the execution of AI models with on-orbit fine-tuning as well as a next-generation image compression algorithm, including progressive coding. This innovative approach not only enhances the data processing capabilities of nanosatellites but also lays the groundwork for broader applications to remote sensing from space.","2160-7516","979-8-3503-6547-4","10.1109/CVPRW63382.2024.00672","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10678148","edge AI;AI in Space;radiation resilience;Enhancing Nanosatellite Capabilities;Low Bandwidth AI;JPEGXL in space","Computer vision;Temperature distribution;Image coding;Space missions;Small satellites;Graphics processing units;Aerospace electronics","","2","","30","IEEE","27 Sep 2024","","","IEEE","IEEE Conferences"
"A Performance Characterization of Scientific Machine Learning Workflows","P. Krawczuk; G. Papadimitriou; R. Tanaka; T. M. Anh Do; S. Subramanya; S. Nagarkar; A. Jain; K. Lam; A. Mandal; L. Pottier; E. Deelman","Information Sciences Institute, University of Southern California, Marina Del Rey, CA, USA; Information Sciences Institute, University of Southern California, Marina Del Rey, CA, USA; Information Sciences Institute, University of Southern California, Marina Del Rey, CA, USA; Information Sciences Institute, University of Southern California, Marina Del Rey, CA, USA; Computer Science Department, University of Southern California, Los Angeles, CA, USA; Computer Science Department, University of Southern California, Los Angeles, CA, USA; Computer Science Department, University of Southern California, Los Angeles, CA, USA; Information Sciences Institute, University of Southern California, Marina Del Rey, CA, USA; Renaissance Computing Institute, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA; Information Sciences Institute, University of Southern California, Marina Del Rey, CA, USA; Information Sciences Institute, University of Southern California, Marina Del Rey, CA, USA",2021 IEEE Workshop on Workflows in Support of Large-Scale Science (WORKS),"28 Dec 2021","2021","","","58","65","Scientific workflows are one of the well-established pillars of modern large-scale computational science. More recently, scientists have started to leverage machine learning (ML) capabilities in their workflows, leading to a new category of scientific workflows, denoted as scientific ML workflows. ML is not only about training and inference, modern ML workflows also involve complex data processing steps before the training can start, which are not often accounted for in most performance studies. In this work, we consider scientific ML workflows, from data pre-processing to training, inference, and model evaluation. We aim to explore (i) how scientific ML workflows differ from more traditional scientific workflows and; (ii) how we can characterize ML workflows both in terms of execution time and data movements when executing on a target cloud platform. We select three representative workflows, ranging from image classification to natural language processing and image segmentation, which have been executed using the academic cloud platform, Chameleon. We build four realistic deployment scenarios for each workflow, which stress data movements during workflow executions. Then, we compare the performance observed when utilizing these different configurations and study how different settings impact overall workflows performance and efficiency when running on cloud infrastructures. Finally, we summarize our findings and discuss performance impacts when augmenting scientific workflows with ML techniques and how traditional workflow management systems can improve their support for such workflows.","","978-1-6654-1136-3","10.1109/WORKS54523.2021.00013","DOE(grant numbers:#DE-SC0012636,#DE-SC0022328); NSF(grant numbers:#1664162); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9652609","scientific workflows;machine learning;cloud;data movements;performance characterization","Training;Image segmentation;Scientific computing;Graphics processing units;Machine learning;Natural language processing;Task analysis","","2","","39","IEEE","28 Dec 2021","","","IEEE","IEEE Conferences"
"Drive-by Air Pollution Sensing Systems: Challenges and Future Directions","H. Zarrar; V. Dyo","Institute for Research in Applicable Computing (IRAC), University of Bedfordshire, Luton, U.K; Institute for Research in Applicable Computing (IRAC), University of Bedfordshire, Luton, U.K",IEEE Sensors Journal,"3 Oct 2023","2023","23","19","23692","23703","Air pollution has become a significant health, environmental, and economic problem worldwide. The conventional approach of deploying fixed high-end air quality monitoring stations provides accurate measurements but can be expensive to deploy and maintain. As a result, the stations are typically deployed in a few strategic locations with various spatial interpolation or prediction models to estimate the air quality values from unsampled points. Recently, drive-by air quality sensing has emerged as a popular approach due to its dynamic nature, high spatial coverage, and low operational costs while providing high-resolution data. At the same time, drive-by sensing (DS) has introduced a range of novel research challenges in terms of spatial and temporal coverage, mobile sensor (MS) calibration, and deployment strategies. This article provides a systematic review and analysis of the recent work in this area, focusing on vehicular platforms, deployment strategies, primary challenges, and promising research directions.","1558-1748","","10.1109/JSEN.2023.3305779","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10225667","Internet of Things (IoT);low-cost sensor (LCS);spatiotemporal coverage;vehicular-based sensing;vehicular networks","Sensors;Air pollution;Gas detectors;Monitoring;Optical sensors;Sensor phenomena and characterization;Temperature sensors","","2","","137","IEEE","21 Aug 2023","","","IEEE","IEEE Journals"
"Embracing Diversity and Inclusion: A Decolonial Approach to Urban Computing","G. Vargas-Solar; C. Ghedira-Guégan; J. A. Espinosa-Oviedo; J. -L. Zechinelli-Martin","INSA Lyon, CPE, UCBL, LIRIS, UMR5205, CNRS, Univ. Lyon, Lyon, France; INSA Lyon, CPE, UCBL, LIRIS, UMR5205, CNRS, Univ. Lyon, Lyon, France; INSA Lyon, CPE, UCBL, LIRIS, UMR5205, CNRS, Univ. Lyon, Lyon, France; Fundación Universidad de las Américas Puebla, San Andrés Cholula, Mexico",2023 20th ACS/IEEE International Conference on Computer Systems and Applications (AICCSA),"2 Apr 2024","2023","","","1","6","This vision paper underscores the technical challenges and difficulties of addressing urban computing from a Diversity and Inclusion (DEI) decolonial standpoint. Issues of DEI, which encompass factors such as gender, race, age, socio-economic status, physical abilities, and religion, necessitate a shift in how we conceptualise the design of scientific and engineering methodologies. The decolonial perspective can be employed to scrutinise the influence of dominant viewpoints on our understanding of progress, innovation, and their contribution to societal welfare. The hypothesis is that these perspectives can be integrated into the design processes that deal with solutions, knowledge, and information systems across all layers, from infrastructure to application and user interfaces. This paper exhibits research questions, challenges and possible strategies to design DEI aware urban computing solutions with a decolonial perspective.","2161-5330","979-8-3503-1943-9","10.1109/AICCSA59173.2023.10479352","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10479352","","Technological innovation;User interfaces;Cultural differences;Information systems","","1","","20","IEEE","2 Apr 2024","","","IEEE","IEEE Conferences"
"Effects of Adopting Industry 4.0 on a Manufacturing Plant","P. Waghanna; A. Reddy; S. Deshpande; S. Chavan; V. R. Jaiswal; V. Naranje","BE IT Department of Pune Institute of Computer Technology, Pune; BE IT Department of Pune Institute of Computer Technology, Pune; BE IT Department of Pune Institute of Computer Technology, Pune; BE IT Department of Pune Institute of Computer Technology, Pune; IT Department of Pune Institute of Computer Technology, Pune; School of Engineering, Architecture and Interior Design, Amity University, Dubai","2024 11th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","14 May 2024","2024","","","1","6","In the era of Industry 4.0, Smart Manufacturing is reshaping how things are made. At the heart of it is the Industrial Internet of Things (IIoT), where smart sensors and connections create a digital system for factories. This paper highlights how IIoT facilitates real-time data exchange, aiding quick decision-making and creating adaptable manufacturing setups. Cyber-Physical Systems (CPS) integration is also discussed, showing how the line between physical and digital elements in manufacturing is getting blurred. Big Data Analytics is another game-changer, supporting data-driven decisions and predictive maintenance. The paper also digs into Artificial Intelligence and Machine Learning, showing how they automate tasks and continuously learn, improving manufacturing processes. Real-world applications are examined, including Digital Twins, advanced robotics like collaborative robots (Cobots), 3D printing, and smart supply chain management. While Smart Manufacturing offers numerous benefits, it's not without challenges. The survey talks about security and privacy concerns, emphasizing the need for strong cybersecurity. Interoperability, ensuring different technologies work seamlessly together, and addressing the workforce skills gap are also explored. The paper ends with examples of successful implementations and looks at future trends, such as the impact of 5G, blockchain in supply chain management, human augmentation, and the push for sustainability in Smart Manufacturing. This survey is a practical guide for anyone interested in understanding the current state and where Smart Manufacturing is headed in the world of Industry 4.0.","2769-2884","979-8-3503-5035-7","10.1109/ICRITO61523.2024.10522189","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10522189","Industry 4.0;IIoT;Cyber Physical Systems;CoBots;AI;ML","Industries;Surveys;Technological innovation;Supply chain management;Market research;Fourth Industrial Revolution;Sustainable development","","1","","16","IEEE","14 May 2024","","","IEEE","IEEE Conferences"
"Security Challenges Prospective Measures In The Current Status of Internet of Things (IoT)","R. J.; V. S. M.","Department of Computer Science and Engineering, VIT, Chennai, India; Department of Computer Science and Engineering, VIT, Chennai, India",2022 International Conference on Connected Systems & Intelligence (CSI),"1 Nov 2022","2022","","","1","8","This paper provides a high-level review and evaluation of the present situation regarding IoT Securities. An Internet of Things design seeks to connect everyone with anything they want, whenever they want it. The perception layer, network layer, the application layer is the most important three layers which mainly make the Internet of Things. To achieve a stable IoT reality, a range of safety precautions must be imposed at each tier. The only way to assure the future of the IoT infrastructure is to address and resolve the security issues that it has. Many researchers have attempted to address the security concerns specific to IoT layers and devices by applying suitable measures. This paper provides a top level view of safety ideas, technology and security problems, possible remedies, and the IoT's future directions for securing and also in this paper, a depth evaluation of the safety associated demanding situations and raw sources of danger with inside the IoT programs have been showcased. Latter discussion on the safety issue, diverse rising and present technology centered for attaining an excessive diploma of agree with inside the IoT programs are discussed.","","978-1-6654-5815-3","10.1109/CSI54720.2022.9923984","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9923984","IoT Construction;Security layer;Systemic Approach on Strategies;Framework layer","Current measurement;Safety;Security;Internet of Things","","1","","33","IEEE","1 Nov 2022","","","IEEE","IEEE Conferences"
"Real Time Environmental Factors Monitoring System by Sensor Fusion on a NodeMCU ESP8266-Wemos-D1 R1 Board","A. Panicker; D. Gupta; H. Deora; A. Jain; A. Kumar; N. Gupta","Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Electronics and Communication Engineering Department, Jaypee Institute of Information Technology, Noida, India; Department of Applied Science and Humanity, Dronacharya Group of Institutions, Greater Noida, U. P., India",2023 IEEE 11th Region 10 Humanitarian Technology Conference (R10-HTC),"19 Mar 2024","2023","","","1077","1082","It is an effective environment monitoring system that provides the community with a tool to monitor and data acquisition. The data then collected can be used to develop effective and feasible solutions to control green parameters like temperature, pressure, moisture, etc. This project's independence from the availability of a network makes it suitable for tough and remote geographical areas. The multiple sensor frame transmits the data wirelessly through the ESP-NOW protocol to a remote monitoring computer where through the application it is possible to monitor each sensor, detect alarm conditions, locate the sensors in an animated geographical map, and record all acquired data for preventive and statistical purposes.","2572-7621","979-8-3503-2614-7","10.1109/R10-HTC57504.2023.10461798","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10461798","Sensors;Environmental factors;PCB;Tem-perature Pressure","Temperature sensors;Temperature measurement;Temperature distribution;Temperature dependence;Soil moisture;Humidity;Sensor fusion","","1","","15","IEEE","19 Mar 2024","","","IEEE","IEEE Conferences"
"A New IoT Storage System Based on Raw NVM","T. Cai; Y. Ma; D. Niu; P. Gao; T. Lei; J. Dai","The School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, China; The School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, China; The School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, China; The School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, China; The School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, China; The School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, China",2022 IEEE International Conference on Big Data (Big Data),"26 Jan 2023","2022","","","367","372","NVM storage devices have the advantages of high read-write speed, non-volatile and large capacity, which provides support for efficient storage and management of a large number of time series data collected by IoT devices. However, how to study a new IoT storage system for time series data according to the advantages of NVM storage devices is an important issue that needs to be solved. This paper first analyses the characteristics of accessing to IoT time series data and then based on the characteristics of NVM storage devices, a multi-granularity auto-converting structure for time series data is designed. It not only reflects the timeliness of accessing to IoT time series data, but also avoids additional data replication, which improves the storage efficiency of IoT time series data. A timeliness-based heterogeneous query strategy is designed to improve the query efficiency according to the IoT time series data storage structure and accessing characteristics. The prototype of a new IoT storage system based on raw NVM named NBTSMS is implemented based on the Intel open-source NVM storage device driver PMEM. InfluxDB, OpenTSDB, and TimescaleDB are used for evaluation with YCSB-TS. Results show that NSTSMS can improve write throughput by 137%, random query throughput by 153.7%, scan throughput by 189.4%, and mixed-operations throughput by 55%.","","978-1-6654-8045-1","10.1109/BigData55660.2022.10020847","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10020847","IoT;IoT time series data;time series data storage system;NVM storage device","Time series analysis;Memory;Prototypes;Big Data;Throughput;Internet of Things;Device drivers","","1","","22","IEEE","26 Jan 2023","","","IEEE","IEEE Conferences"
"Symphony of Sensors: The Harmonious Art of Massive Data Generation by Devices","R. Mishra; A. Mihovska; R. Prasad","Department of Computer Engineering and Science, University of Mumbai, Mumbai, India; Research & Development & Innovation Consortium (RDIC), Sofia, Bulgaria; Department of Business Development and Technology, Aarhus University, Herning, Denmark",2023 26th International Symposium on Wireless Personal Multimedia Communications (WPMC),"11 Dec 2023","2023","","","1","5","In today's interconnected world, devices of all shapes and sizes orchestrate a grand symphony of data generation, producing an unparalleled cacophony of information that prevail through every aspect of our lives. This paper takes center stage to explore the intricate choreography of this symphony, shedding light on the diverse cast of devices, the rhythms of data generation, and the significant implications for society. Through a harmonious blend of analysis and imagination, we unravel the melodies of innovation, challenges, and opportunities that arise from the massive data generation by devices.","1882-5621","979-8-3503-0890-7","10.1109/WPMC59531.2023.10338947","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10338947","Data Preprocessing;IoT;Wearables;Cloud Computing;Real-time data;Distributed Computing","Wireless communication;Technological innovation;Wireless sensor networks;Shape;Standards organizations;Standardization;Production","","","","35","IEEE","11 Dec 2023","","","IEEE","IEEE Conferences"
"Federated Learning for Intelligent IoT Systems: Background, Frameworks, and Optimization Techniques","P. P. Ray","Department of Computer Applications, Sikkim University, Gangtok, Sikkim, India","Model Optimization Methods for Efficient and Edge AI: Federated Learning Architectures, Frameworks and Applications","","2025","","","241","280","Summary <p>In the rapidly expanding realm of the Intelligent Internet of Things (ITIoT) and federated learning, ensuring optimal performance while maintaining stringent security and privacy standards is paramount. This chapter first delves into the background of federate learning and it's necessary for existing IoT systems to emerge as intelligent. Second, we provide a comparative analysis of the state‐of‐the‐art industrial framework for leveraging ITIoT applications and development. Third, we delve deep into the optimization techniques for federated ITIoT systems, highlighting key strategies for efficient communication, model compression, asynchronous updates, and staleness handling. Moreover, the significance of robust privacy‐preserving mechanisms is underlined, with a comprehensive exploration of potential attack vectors and their respective mitigation strategies in federated IoT setups. Through a multifaceted approach, this chapter provides an in‐depth understanding of the challenges and solutions associated with federated ITIoT systems.</p>","","9781394219209","10.1002/9781394219230.ch13","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10770775.pdf&bkn=10770699&pdfType=chapter","","Internet of Things;Federated learning;Data privacy;Data models;Computational modeling;Bandwidth;Servers;Security;Painting;Intelligent sensors","","","","","","28 Nov 2024","","","IEEE","Wiley-IEEE Press eBook Chapters"
"Automated Validation of Spatial Data","J. V. T. Salgado; D. Z. R. Vinicius; V. D. S. Dias; R. L. Rosa","Dep. of Computer Science, Univ. of Lavras Federal, Minas Gerais, Brazil; Dep. of Computer Science, Univ. of Lavras Federal, Minas Gerais, Brazil; Dep. of Computer Science, Univ. of Lavras Federal, Minas Gerais, Brazil; Dep. of Computer Science, Univ. of Lavras Federal, Minas Gerais, Brazil","2024 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)","23 Oct 2024","2024","","","1","6","Spatial databases, are often based on relational database management systems (RDBMS), to incorporate geographical data essential for data planning and optimization. However, maintaining the integrity of spatial data poses challenges, particularly in enforcing topological rules and preventing performance degradation during query execution. In this context, we propose an automated geometry validation application tailored for database environments, complemented by a user-friendly web-based interface. Our solution addresses the issue of invalid geometries often encountered in datasets, enhancing the reliability and efficiency of spatial database operations. Through performance and accuracy evaluations, we demonstrate the effectiveness of our approach in improving the overall user experience and trust in data planning processes with minimal implementation efforts.","1847-358X","978-953-290-138-2","10.23919/SoftCOM62040.2024.10721916","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10721916","Spatial databases;Network Planning;Computational geometry;Geographical information systems","Geometry;Urban planning;Transportation;Spatial databases;User experience;Planning;Telecommunications;Reliability;Optimization;Geographic information systems","","","","18","","23 Oct 2024","","","IEEE","IEEE Conferences"
"IoT Data Management and A Brief Analysis of IoT in the Health Industry","M. Z. Hussain; M. Z. Hasan; M. O. Suffian; M. Ali Sarwar; S. Nosheen; M. A. Yaqub; A. Bilal","Department of Computer Science, Baharia University, Lahore, Pakistan; Department of Computer Science, University of Central Punjab, Lahore, Pakistan; Department of Economics, Information Technology University, Lahore, Pakistan; Department of Economics, Information Technology University, Lahore, Pakistan; Department of Computer Science, Bahria University, Lahore, Pakistan; Department of Computer Science, University of Education, Lahore, Pakistan; Department of Computer Science, National College of Business Administration Economics, Lahore, Pakistan",2023 Computer Applications & Technological Solutions (CATS),"9 Feb 2024","2023","","","1","14","The Internet of Things (IoT) has totally changed how we interact with the world, how we live and work. It is an ecosystem which consists of internet enabled devices which use microchips, sensors or any type of hardware which can be used for communication. IoT devices provide vast amounts of data but managing this data and ensuring its integrity and security is a challenging task that requires expertise. Depending on the unique needs and limitations of the IoT system, data processing and analysis can be carried out using cloud computing techniques. The efficiency, scalability, and efficacy of connected devices are all driven by Machine Learning and Cloud Computing, two key technologies in the IoT landscape. IoT is set to unlock new levels of creativity and value across sectors, revolutionizing how businesses run and how individuals go about their everyday lives. This paper talks about how data is collected from IoT devices, how is it processed, what are the sources of this data, how ML and Cloud Computing helps to maintain this data and overcome the challenges faced by the use of this technology. This paper also specifies how IoT is used in the medical industry. By 2025, IoT in healthcare market is projected to be worth more than534.3 billion dollars. Over the course of time, Internet of Medical Things (IoMT) has provided improved patient monitoring, early diagnosis, individualized treatments and diagnostics for the patients. Medical IoT devices like wearable sensors and remote monitoring devices have transformed patient care as they can enable early illness detection by collecting and analyzing patient data in real time this improving disease management. While the use of IoT promises to improve many parts of our lives, it also has some challenges that must be solved to fully utilize its ability by using latest technological techniques.","","979-8-3503-8388-1","10.1109/CATS58046.2023.10424074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10424074","IoT;sensors;communication;IoT integration;data management;data handling;healthcare;IoMT","Industries;Cloud computing;Scalability;Machine learning;Internet of Things;Security;Medical diagnostic imaging","","","","68","IEEE","9 Feb 2024","","","IEEE","IEEE Conferences"
"14Advances in E‐commerce Through the Integration of Distributed Computing Approaches","V. Podile; K. Suresh Kumar; L. P. L. Cavaliere; S. R. R. Annapureddy; K. V. Siva Praneeth; K. P. S. Sabareesh; D. B. Sambasiva Rao","1 K. L. Business School, Koneru Lakshmaiah Education Foundation, Vaddeswaram, Andhra Pradesh, India; Panimalar Engineering College, 2 MBA Department, Chennai, Tamil Nadu, India; University of Foggia, 3 Department of Economics, Foggia, Italy; 4 Koneru Lakshmaiah Education Foundation, Vaddeswaram, Andhra Pradesh, India; 4 Koneru Lakshmaiah Education Foundation, Vaddeswaram, Andhra Pradesh, India; 4 Koneru Lakshmaiah Education Foundation, Vaddeswaram, Andhra Pradesh, India; 4 Koneru Lakshmaiah Education Foundation, Vaddeswaram, Andhra Pradesh, India",Meta-Heuristic Algorithms for Advanced Distributed Systems,"","2024","","","229","244","The integration of distributed computing approaches in e‐commerce has brought significant advances and benefits to businesses operating in the digital landscape. This chapter provides an overview of the definition and types of distributed computing approaches and their benefits, challenges, and considerations when integrating them into e‐commerce. The enhanced scalability and flexibility, enhanced performance and efficiency, enhanced security and privacy, cost savings, reduced operational complexity, and enhanced customer experience that result from this integration. The chapter also examines emerging trends in cloud computing, big data, and artificial intelligence in the integration of distributed computing methods in e‐commerce. The discussion comes to the conclusion that the incorporation of distributed computing methods is a good development for e‐commerce companies, but it is essential to take into account any potential risks and put in place the necessary countermeasures. Overall, this chapter offers a thorough analysis of distributed computing approaches' incorporation into e‐commerce, stressing the advantages, difficulties, and emerging trends. The information presented in this chapter can help businesses understand the importance of this integration and leverage its benefits to stay competitive in the digital age.","","9781394188079","10.1002/9781394188093.ch14","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10473720.pdf&bkn=10473747&pdfType=chapter","","Business;Distributed computing;Security;Scalability;Servers;Task analysis;Costs","","","","","","18 Mar 2024","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
