"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Yang Z.; Neary V.S.","Yang, Zhaoqing (55914640400); Neary, Vincent S. (6701367686)","55914640400; 6701367686","High-resolution hindcasts for U.S. wave energy resource characterization","2020","International Marine Energy Journal","3","2","","65","71","6","8","10.36688/imej.3.65-71","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102268418&doi=10.36688%2fimej.3.65-71&partnerID=40&md5=d582c317f081bb934c1b0c67bdc4443a","Marine Sciences Laboratory in the Pacific Northwest National Laboratory, 1100 Dexter Ave North, Suite 500, Seattle, WA, United States; Sandia National Laboratories, P.O. Box 5800, Albuquerque, 87185-MS1124, NM, United States","Yang Z., Marine Sciences Laboratory in the Pacific Northwest National Laboratory, 1100 Dexter Ave North, Suite 500, Seattle, WA, United States; Neary V.S., Sandia National Laboratories, P.O. Box 5800, Albuquerque, 87185-MS1124, NM, United States","The marine and hydrokinetic (MHK) industry is at an early stage of development and has the potential to play a significant role in diversifying the U.S. energy portfolio and reducing the U.S. carbon footprint. Wave energy is the largest among all the U.S. MHK energy resources, which include wave energy, ocean current, tidal-instream, ocean thermal energy conversion, and river-instream. Wave resource characterization is an essential step for regional wave energy assessments, Wave Energy Converter (WEC) project development, site selection and WEC design. The present paper provides an overview of a joint modelling effort by the Pacific Northwest National Laboratory and Sandia National Laboratories on high-resolution wave hindcasts to support the U.S. Department of Energy’s Water Power Technologies Office’s program of wave resource characterization, assessment and classifications in all US coastal regions. Topics covered include the modelling approach, model input requirements, model validation strategies, high performance computing resource requirements, model outputs and data management strategies. Examples of model setup and validation for different regions are provided along with application to development of classification systems, and analysis of regional wave climates. Lessons learned and technical challenges of the long-term, high-resolution regional wave hindcast are discussed. © 2020, European Wave and Tidal Energy Conference. All rights reserved.","Classification systems; Model validation; Resource characterization; U.S. regional wave hindcast; Unstructured-grid wave model","Carbon footprint; Climate models; Information management; Site selection; Tidal power; Classification system; High resolution; Model validation; Resource characterizations; Unstructured grid; Unstructured-grid wave model; US regional wave hindcast; Wave energy; Wave hindcast; Wave modelling; Wave energy conversion","","","European Wave and Tidal Energy Conference","26315548","","","","English","Int. Mar. J. Energy","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85102268418"
"Panayides A.S.; Amini A.; Filipovic N.D.; Sharma A.; Tsaftaris S.A.; Young A.; Foran D.; Do N.; Golemati S.; Kurc T.; Huang K.; Nikita K.S.; Veasey B.P.; Zervakis M.; Saltz J.H.; Pattichis C.S.","Panayides, Andreas S. (16646871500); Amini, Amir (7005466984); Filipovic, Nenad D. (35749660900); Sharma, Ashish (57201794355); Tsaftaris, Sotirios A. (6505952824); Young, Alistair (7403881255); Foran, David (7004400892); Do, Nhan (57209588695); Golemati, Spyretta (6603094406); Kurc, Tahsin (6701424615); Huang, Kun (55481915600); Nikita, Konstantina S. (7005448427); Veasey, Ben P. (57209660644); Zervakis, Michalis (55797185300); Saltz, Joel H. (7004423034); Pattichis, Constantinos S. (35495139000)","16646871500; 7005466984; 35749660900; 57201794355; 6505952824; 7403881255; 7004400892; 57209588695; 6603094406; 6701424615; 55481915600; 7005448427; 57209660644; 55797185300; 7004423034; 35495139000","AI in Medical Imaging Informatics: Current Challenges and Future Directions","2020","IEEE Journal of Biomedical and Health Informatics","24","7","9103969","1837","1857","20","320","10.1109/JBHI.2020.2991043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087474079&doi=10.1109%2fJBHI.2020.2991043&partnerID=40&md5=88f75a062b3e2d9749d9bad4f56b6592","Department of Computer Science, University of Cyprus, Nicosia, 1678, Cyprus; Electrical and Computer Engineering Department, University of Louisville, Louisville, 40292, KY, United States; University of Kragujevac, Kragujevac, 2W94+H5, Serbia; Emory University Atlanta, 30322, GA, United States; School of Engineering, University of Edinburgh, EH9 3FG, United Kingdom; Department of Anatomy and Medical Imaging, University of Auckland, Auckland, 1142, New Zealand; Department of Pathology and Laboratory Medicine, Robert Wood Johnson Medical School, Rutgers, the State University of New Jersey, Piscataway, 08854, NJ, United States; U.S. Department of Veterans Affairs Boston Healthcare System, Boston, 02130, MA, United States; Medical School, National and Kapodistrian University of Athens, Athens, 11794, Greece; Stony Brook University, Stony Brook, 46202, NY, United States; School of Medicine, Regenstrief Institute, Indiana University, 157 80, IN, United States; Biomedical Simulations and Imaging Lab, School of Electrical and Computer Engineering, National Technical University of Athens, Athens, 73100, Greece; Technical University of Crete, Crete, 1678, Greece","Panayides A.S., Department of Computer Science, University of Cyprus, Nicosia, 1678, Cyprus; Amini A., Electrical and Computer Engineering Department, University of Louisville, Louisville, 40292, KY, United States; Filipovic N.D., University of Kragujevac, Kragujevac, 2W94+H5, Serbia; Sharma A., Emory University Atlanta, 30322, GA, United States; Tsaftaris S.A., School of Engineering, University of Edinburgh, EH9 3FG, United Kingdom; Young A., Department of Anatomy and Medical Imaging, University of Auckland, Auckland, 1142, New Zealand; Foran D., Department of Pathology and Laboratory Medicine, Robert Wood Johnson Medical School, Rutgers, the State University of New Jersey, Piscataway, 08854, NJ, United States; Do N., U.S. Department of Veterans Affairs Boston Healthcare System, Boston, 02130, MA, United States; Golemati S., Medical School, National and Kapodistrian University of Athens, Athens, 11794, Greece; Kurc T., Stony Brook University, Stony Brook, 46202, NY, United States; Huang K., School of Medicine, Regenstrief Institute, Indiana University, 157 80, IN, United States; Nikita K.S., Biomedical Simulations and Imaging Lab, School of Electrical and Computer Engineering, National Technical University of Athens, Athens, 73100, Greece; Veasey B.P., Electrical and Computer Engineering Department, University of Louisville, Louisville, 40292, KY, United States; Zervakis M., Technical University of Crete, Crete, 1678, Greece; Saltz J.H., Technical University of Crete, Crete, 1678, Greece; Pattichis C.S., Stony Brook University, Stony Brook, 46202, NY, United States","This paper reviews state-of-the-art research solutions across the spectrum of medical imaging informatics, discusses clinical translation, and provides future directions for advancing clinical practice. More specifically, it summarizes advances in medical imaging acquisition technologies for different modalities, highlighting the necessity for efficient medical data management strategies in the context of AI in big healthcare data analytics. It then provides a synopsis of contemporary and emerging algorithmic methods for disease classification and organ/ tissue segmentation, focusing on AI and deep learning architectures that have already become the de facto approach. The clinical benefits of in-silico modelling advances linked with evolving 3D reconstruction and visualization applications are further documented. Concluding, integrative analytics approaches driven by associate research branches highlighted in this study promise to revolutionize imaging informatics as known today across the healthcare continuum for both radiology and digital pathology applications. The latter, is projected to enable informed, more accurate diagnosis, timely prognosis, and effective treatment planning, underpinning precision medicine. © 2013 IEEE.","Big Data; Deep Learning; Image Analysis; Image Classification; Image Processing; Image Segmentation; Image Visualization; Integrative Analytics; Machine Learning; Medical Imaging","Artificial Intelligence; Big Data; Diagnostic Imaging; Humans; Image Interpretation, Computer-Assisted; Image Processing, Computer-Assisted; Medical Informatics; Precision Medicine; Clinical research; Data Analytics; Deep learning; Diagnosis; Health care; Information management; Medical imaging; Three dimensional computer graphics; fluorodeoxyglucose; Algorithmic methods; Clinical translation; Digital pathologies; Disease classification; Imaging informatics; Learning architectures; Medical data management; Visualization application; breast cancer; cancer growth; cancer prognosis; cancer staging; cancer therapy; clinical data repository; data interoperability; deep learning; diabetic retinopathy; diagnostic imaging; disease classification; echography; electronic health record; fluorescence imaging; fluorescence microscopy; functional connectivity; gamma radiation; glioblastoma; glioma; high frequency ultrasound; human; image analysis; image retrieval; image segmentation; learning algorithm; lung cancer; magnetic resonance elastography; mammography; melanoma; microscopy; nuclear magnetic resonance imaging; nuclear medicine; optical coherence tomography; overall survival; positron emission tomography-computed tomography; progression free survival; radiation dose; Review; single photon emission computed tomography; tissue microarray; treatment planning; tumor microenvironment; ultrasound; World Health Organization; X ray; x-ray computed tomography; artificial intelligence; computer assisted diagnosis; image processing; medical informatics; personalized medicine; Medical informatics","A.S. Panayides; Department of Computer Science, University of Cyprus, Nicosia, 1678, Cyprus; email: panayides@cs.ucy.ac.cy","","Institute of Electrical and Electronics Engineers Inc.","21682194","","ITIBF","32609615","English","IEEE J. Biomedical Health Informat.","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85087474079"
"You X.; Lv X.; Zhao Z.; Han J.; Ren X.","You, Xindong (55652665300); Lv, Xueqiang (35100788800); Zhao, Zhikai (15764159100); Han, Junmei (58401372800); Ren, Xueping (57217066236)","55652665300; 35100788800; 15764159100; 58401372800; 57217066236","A Survey and Taxonomy on Energy-Aware Data Management Strategies in Cloud Environment","2020","IEEE Access","8","","9087894","94279","94293","14","14","10.1109/ACCESS.2020.2992748","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086038046&doi=10.1109%2fACCESS.2020.2992748&partnerID=40&md5=11d0bb0da1f5329f3533978b71603d02","Beijing Key Laboratory of Internet Culture and Digital Dissemination Research, Beijing Information Science Technology University, Beijing, 100101, China; National Joint Engineering Laboratory of Internet Applied Technology of Mines, Internet of Things (IoT) Research Center, China University of Mining and Technology, Xuzhou, 221008, China; Laboratory of Complex Systems, Institute of Systems Engineering, AMS, PLA, Beijing, 100102, China; Key Laboratory of Complex Systems Modeling and Simulation, Ministry of Education, Hangzhou Dianzi University, Hangzhou, 310037, China","You X., Beijing Key Laboratory of Internet Culture and Digital Dissemination Research, Beijing Information Science Technology University, Beijing, 100101, China; Lv X., Beijing Key Laboratory of Internet Culture and Digital Dissemination Research, Beijing Information Science Technology University, Beijing, 100101, China; Zhao Z., National Joint Engineering Laboratory of Internet Applied Technology of Mines, Internet of Things (IoT) Research Center, China University of Mining and Technology, Xuzhou, 221008, China; Han J., Laboratory of Complex Systems, Institute of Systems Engineering, AMS, PLA, Beijing, 100102, China; Ren X., Key Laboratory of Complex Systems Modeling and Simulation, Ministry of Education, Hangzhou Dianzi University, Hangzhou, 310037, China","During the past ten years, the energy consumption problem in cloud-related environments has attracted substantial attention in research and industrial communities. Researchers have conducted many surveys on energy efficiency issues from different perspectives. All of the surveys can be classified into five categories: surveys on the energy efficiency of the whole cloud related system, surveys on the energy efficiency of a certain level or component of the cloud, surveys on all of the energy efficient strategies, surveys on a certain energy efficiency techniques, and other energy efficiency related surveys. However, to the best of our knowledge, surveys on energy-aware data management strategies in cloud-related environment are absent. In this paper, we conduct a comprehensive survey on energy saving-aware data management strategies in cloud-related environments, such as data classification, data placement and data replication strategies. Compared to current existing reviews on energy efficiency in cloud-related environments, we firstly conduct the survey on the energy consumption problem from the data management perspective. Furthermore, we classify the energy-aware data management strategies from different perspectives. This survey and the taxonomy of the energy-aware data management strategies demonstrate the potential for reducing the energy consumption at the data management level of a cloud storage system, which will compress more space for energy reduction and finally achieve energy proportionality. Moreover, this survey and taxonomy on the energy efficiency issue from the data management perspective is an important supplement to current existing surveys on energy efficiency in cloud-related environments. © 2013 IEEE.","cloud storage system; data classification; data placement; data replication; Energy consumption; energy proportionality","Digital storage; Energy efficiency; Energy utilization; Environmental management; Green computing; Industrial research; Power management; Surveys; Taxonomies; Cloud environments; Cloud storage systems; Data classification; Data management strategies; Energy consumption problems; Energy efficient strategies; Energy proportionalities; Industrial communities; Information management","X. Lv; Beijing Key Laboratory of Internet Culture and Digital Dissemination Research, Beijing Information Science Technology University, Beijing, 100101, China; email: lxq@bistu.edu.cn","","Institute of Electrical and Electronics Engineers Inc.","21693536","","","","English","IEEE Access","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85086038046"
"Galvez A.; Galar D.; Seneviratne D.","Galvez, Antonio (57220835222); Galar, Diego (44060955300); Seneviratne, Dammika (56252663500)","57220835222; 44060955300; 56252663500","A Hybrid Model-Based Approach on Prognostics for Railway HVAC","2022","IEEE Access","10","","","108117","108127","10","3","10.1109/ACCESS.2022.3211258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140811123&doi=10.1109%2fACCESS.2022.3211258&partnerID=40&md5=482e3872c7a5a6284bdda897a12097c8","Basque Research and Technology Alliance (BRTA), Tecnalia, Derio, 48170, Spain; Luleå University of Technology, Division of Operation and Maintenance Engineering, Department of Civil, Environmental and Natural Resources Engineering, Luleå, 971 87, Sweden","Galvez A., Basque Research and Technology Alliance (BRTA), Tecnalia, Derio, 48170, Spain, Luleå University of Technology, Division of Operation and Maintenance Engineering, Department of Civil, Environmental and Natural Resources Engineering, Luleå, 971 87, Sweden; Galar D., Basque Research and Technology Alliance (BRTA), Tecnalia, Derio, 48170, Spain, Luleå University of Technology, Division of Operation and Maintenance Engineering, Department of Civil, Environmental and Natural Resources Engineering, Luleå, 971 87, Sweden; Seneviratne D., Basque Research and Technology Alliance (BRTA), Tecnalia, Derio, 48170, Spain","Prognostics and health management (PHM) of systems usually depends on appropriate prior knowledge and sufficient condition monitoring (CM) data on critical components' degradation process to appropriately estimate the remaining useful life (RUL). A failure of complex or critical systems such as heating, ventilation, and air conditioning (HVAC) systems installed in a passenger train carriage may adversely affect people or the environment. Critical systems must meet restrictive regulations and standards, and this usually results in an early replacement of components. Therefore, the CM datasets lack data on advanced stages of degradation, and this has a significant impact on developing robust diagnostics and prognostics processes; therefore, it is difficult to find PHM implemented in HVAC systems. This paper proposes a methodology for implementing a hybrid model-based approach (HyMA) to overcome the limited representativeness of the training dataset for developing a prognostic model. The proposed methodology is evaluated building an HyMA which fuses information from a physics-based model with a deep learning algorithm to implement a prognostics process for a complex and critical system. The physics-based model of the HVAC system is used to generate run-to-failure data. This model is built and validated using information and data on the real asset; the failures are modelled according to expert knowledge and an experimental test to evaluate the behaviour of the HVAC system while working, with the air filter at different levels of degradation. In addition to using the sensors located in the real system, we model virtual sensors to observe parameters related to system components' health. The run-to-failure datasets generated are normalized and directly used as inputs to a deep convolutional neural network (CNN) for RUL estimation. The effectiveness of the proposed methodology and approach is evaluated on datasets containing the air filter's run-to-failure data. The experimental results show remarkable accuracy in the RUL estimation, thereby suggesting the proposed HyMA and methodology offer a promising approach for PHM.  © 2013 IEEE.","deep learning; HVAC system; hybrid modelling; Prognostics and health management; railway","Air conditioning; Condition monitoring; Convolution; Deep neural networks; Health; Information management; Learning algorithms; Railroad transportation; Railroads; Systems engineering; Atmospheric modeling; Biological system modeling; Conditioning systems; Convolutional neural network; Deep learning; Heating ventilation and air conditioning; Heating, ventilation, and air conditioning system; Hybrid model; Predictive models; Prognostic and health management; Railway; Complex networks","A. Galvez; Basque Research and Technology Alliance (BRTA), Tecnalia, Derio, 48170, Spain; email: antonio.galvez@associated.ltu.se","","Institute of Electrical and Electronics Engineers Inc.","21693536","","","","English","IEEE Access","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85140811123"
"Desloges F.","Desloges, F. (57571908800)","57571908800","Decoding 3 Critical Building Blocks of Energy Digitalization","2022","2nd EAGE Digitalization Conference and Exhibition","","","","","","","0","10.3997/2214-4609.202239070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127959820&doi=10.3997%2f2214-4609.202239070&partnerID=40&md5=5d00fa9bf164807f4886b45f1aa5484f","INT, Inc.","Desloges F., INT, Inc.","Moving data to the cloud is key to the future - even the present - of the modern digital workspace. Energy companies especially must be able to access their data in the cloud to generate insights quickly and make critical business decisions in real-time. However, this is a constant and ongoing challenge for the industry, and it can often be a multidimensional problem considering the size, complexity, format, and location of data. In fact, in a recent survey by Bentley Systems, more than 83% of respondents stated that data management is a critical issue for their organization. Migrating to the cloud requires a strong, consistent digital data management strategy with several key components. © 2022 2nd EAGE Digitalization Conference and Exhibition. All rights reserved.","","Surveys; Bentley systems; Building blockes; Business decisions; Critical business; Energy; Energy companies; Management IS; Multidimensional problems; Real- time; Size complexity; Information management","","","European Association of Geoscientists and Engineers, EAGE","","978-946282413-3","","","English","EAGE Digit. Conf. Exhib.","Conference paper","Final","","Scopus","2-s2.0-85127959820"
"Jozi A.; Pinto T.; Vale Z.","Jozi, Aria (57193337928); Pinto, Tiago (35219107600); Vale, Zita (57203219788)","57193337928; 35219107600; 57203219788","Contextual learning for energy forecasting in buildings","2022","International Journal of Electrical Power and Energy Systems","136","","107707","","","","9","10.1016/j.ijepes.2021.107707","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118549220&doi=10.1016%2fj.ijepes.2021.107707&partnerID=40&md5=0a7c20a1e1458e0b0aabc1b786f26c14","University of Salamanca, Salamanca, Spain; Research Group on Intelligent Engineering and Computing for Advanced Innovation and Development (GECAD), School of Engineering, Polytechnic of Porto (ISEP/IPP), R. Dr. António Bernardino de Almeida 431, Porto, 4200-072, Portugal","Jozi A., University of Salamanca, Salamanca, Spain; Pinto T., Research Group on Intelligent Engineering and Computing for Advanced Innovation and Development (GECAD), School of Engineering, Polytechnic of Porto (ISEP/IPP), R. Dr. António Bernardino de Almeida 431, Porto, 4200-072, Portugal; Vale Z., Research Group on Intelligent Engineering and Computing for Advanced Innovation and Development (GECAD), School of Engineering, Polytechnic of Porto (ISEP/IPP), R. Dr. António Bernardino de Almeida 431, Porto, 4200-072, Portugal","Energy consumers are becoming active players in the power and energy system. However, their informed and real-time responsiveness to the variations of renewable-based generation and, consequently, energy prices, is not possible without decision support solutions. This paper proposes a novel contextual learning approach for energy forecasting, which supports the decisions of Building Energy Management Systems (BEMS). The proposed forecasting approach includes a contextual dimension that identifies different observed contexts and clusters them according to their similarity. The identification of such contexts is used by the learning process of state-of-the-art artificial intelligence-based forecasting methods to select and adapt the most relevant data that is used in the training phase in each context. Forecasts for energy consumption, generation, temperature, brightness and occupancy are used by the BEMS to provide recommendations to the consumers and to support automated control of building devices. Real consumption, generation and contextual data gathered from several sensors in a building are used to validate the results, which show that the proposed contextual learning model improves forecasts of energy consumption, generation and other relevant factors for energy management in buildings. © 2021 Elsevier Ltd","Contextual learning; Demand response; Energy consumption; Energy management systems; Forecasting","Buildings; Decision support systems; Energy management; Energy management systems; Forecasting; Learning systems; Building energy management systems; Contextual learning; Demand response; Energy consumer; Energy forecasting; Energy prices; Energy systems; Energy-consumption; In-buildings; Real- time; Energy utilization","T. Pinto; Research Group on Intelligent Engineering and Computing for Advanced Innovation and Development (GECAD), School of Engineering, Polytechnic of Porto (ISEP/IPP), Porto, R. Dr. António Bernardino de Almeida 431, 4200-072, Portugal; email: tcp@isep.ipp.pt","","Elsevier Ltd","01420615","","IEPSD","","English","Int J Electr Power Energy Syst","Article","Final","","Scopus","2-s2.0-85118549220"
"Liu Y.","Liu, Yu (58397093900)","58397093900","Real Estate Development Strategy Based on Artificial Intelligence and Big Data Industrial Policy Background","2022","Scientific Programming","2022","","6249065","","","","2","10.1155/2022/6249065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126624869&doi=10.1155%2f2022%2f6249065&partnerID=40&md5=1935bc868d14591198a1e0152f4585b4","School of Management, Harbin Institute of Technology, Heilongjiang, Harbin, 150006, China","Liu Y., School of Management, Harbin Institute of Technology, Heilongjiang, Harbin, 150006, China","In recent years, as one of the pillar industries of the national economy, the real estate industry has achieved unprecedented development. Since the 1990s, my country's real estate industry has experienced three decades of rapid development. The average annual growth of commercial housing area is nearly 20%, and the average annual growth of housing prices in second-tier cities is 11.87%. However, in the rapid development, there are also many problems. For example, there are more and more phenomena such as unreasonable development, serious environmental pollution, and shortage of resources. At the same time, artificial intelligence has made great achievements in the development process in recent years, and it has continued to grow with technological progress and social demand. At present, China is in a transitional period of economic and social development, and the real estate industry is also facing huge challenges. In this context, research and development of traditional Chinese cities is very necessary and important. Therefore, how to effectively control and coordinate the real estate development behavior in the big data environment is one of the major problems that China is facing and needs to be solved urgently. This article uses questionnaire surveys and data analysis methods to understand the elements of real estate development strategies and analyze consumer purchase intentions through questionnaires. Randomly select 120 citizens of P city as the survey objects, and carry out a questionnaire survey. According to the survey results, most of the interviewees believe that the resource integration strategy occupies an important position in the real estate development strategy, and the big data management strategy also exerts its advantages. Most people believe that internal demand motivation is the most important, followed by the characteristics of real estate. It can be seen that real estate development must fully consider the actual needs of consumers and improve the development process to highlight the characteristics of real estate. © 2022 Yu Liu.","","Big data; Facings; Housing; Information management; Purchasing; Strategic planning; Surveys; Average annual growth; Development process; Development strategies; Housing prices; Industrial policies; National economy; Questionnaire surveys; Real estate development; Real estate industries; Real-estates; Regional planning","Y. Liu; School of Management, Harbin Institute of Technology, Harbin, Heilongjiang, 150006, China; email: liuyu_vip@outlook.com","","Hindawi Limited","10589244","","SCIPE","","English","Sci. Program","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85126624869"
"Nnakenyi N.; Amos S.O.; Abegunde M.; Ayo-Dayisi I.; Anozie N.; Gari T.; Akintade O.; Musa A.; Ibrahim H.","Nnakenyi, Norbert (57863463800); Amos, Simon Olushola (57863730800); Abegunde, Mobolaji (57215360956); Ayo-Dayisi, Ibidunni (57863595800); Anozie, Nnabuike (57863730900); Gari, Tayiro (57863595900); Akintade, Olusemola (57863596000); Musa, Aminu (58254639200); Ibrahim, Habeeb (57863212000)","57863463800; 57863730800; 57215360956; 57863595800; 57863730900; 57863595900; 57863596000; 58254639200; 57863212000","Effective Asset/Portfolio Management: NAPIMS Perspective","2022","Society of Petroleum Engineers - SPE Nigeria Annual International Conference and Exhibition, NAIC 2022","","","","","","","0","10.2118/211998-MS","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136778715&doi=10.2118%2f211998-MS&partnerID=40&md5=aa5c43fb65613dac9fd8f6d4bf229a14","Nigerian National Petroleum Corporation, Nigeria","Nnakenyi N., Nigerian National Petroleum Corporation, Nigeria; Amos S.O., Nigerian National Petroleum Corporation, Nigeria; Abegunde M., Nigerian National Petroleum Corporation, Nigeria; Ayo-Dayisi I., Nigerian National Petroleum Corporation, Nigeria; Anozie N., Nigerian National Petroleum Corporation, Nigeria; Gari T., Nigerian National Petroleum Corporation, Nigeria; Akintade O., Nigerian National Petroleum Corporation, Nigeria; Musa A., Nigerian National Petroleum Corporation, Nigeria; Ibrahim H., Nigerian National Petroleum Corporation, Nigeria","NAPIMS is the investment portfolio management arm of the NNPC that has been entrusted with investments of the federal government of Nigeria in the oil and gas sector. In alignment with best international practices, NAPIMS adopted an efficient asset-based management organizational structure to monitor the true performance of the entire assets within its portfolio. Having an overview of all assets serves as a roadmap/link to obtaining vital background information about legacy performance as well as plans and strategies. Over the years, NAPIMS had a less structured asset overview for producing and non-producing assets thereby, encumbering information access for budgetary and budget performance tasks. The deployed methodology ensures that investments meet the long- and short-term financial objectives and risk tolerance of NNPC and Nigeria at large. This work bridged the performance gap between producing and non-producing assets by delineating important parameters for that influence asset portfolio management. This project also encompasses useful technical, commercial, planning, and financial parameters from sub-sections within an asset group. The developed and implemented solution offers good flexibility by providing every essential and minute detail that can help an asset manager to deep dive into the historical and current performance. It further warehouses the plans for future growth, expansion, and optimizations towards greater profitability. © 2022, Society of Petroleum Engineers.","","Budget control; Financial data processing; Gas industry; Gasoline; Federal governments; International practice; Investments portfolios; Nigeria; Oil and Gas Sector; Organizational structures; Performance; Portfolio managements; Producing assets; Roadmap; Investments","","","Society of Petroleum Engineers","","978-161399954-7","","","English","Soc. Pet. Eng. - SPE Nigeria Annu. Int. Conf. Exhib., NAIC","Conference paper","Final","","Scopus","2-s2.0-85136778715"
"Veerlapati R.; Thota R.","Veerlapati, Ramaiah (57216374992); Thota, Rajesh (57258533600)","57216374992; 57258533600","Data Analytics Functions and Practices in Electric Distribution Utilities Management-A New Perspective","2021","2021 International Conference on Intelligent Technologies, CONIT 2021","","","","","","","1","10.1109/CONIT51480.2021.9498302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114885656&doi=10.1109%2fCONIT51480.2021.9498302&partnerID=40&md5=ef4bd85ea0d2b825bf2af76335a2f9e9","KITS Warangal, Electrical and Electronics Engineering Department, Telangana, India; E.E.E, Department, Vaagdevi College of Engineering Warangal, Telangana, India","Veerlapati R., KITS Warangal, Electrical and Electronics Engineering Department, Telangana, India; Thota R., E.E.E, Department, Vaagdevi College of Engineering Warangal, Telangana, India","Across the whole execution of the Smart-grids, data processing plays a significant part. Intelligent grids are strengthened by activities such as data analytics, high-performance assessment, appropriate management of data networks, and the internet of things. In this modern world, intelligent meters achieve an enormous amount of data through practical mechanisms and strategies. Intelligent energy meter deployments have generated a vast quantity of data at various periods, which indicates that clustering, demand projections, optimum energy efficiency, energy management, tracking, and diagnostics need data analyzing. In dealing with problems in the execution of emerging technology, data analysis slowly becomes an essential part of several industrial sectors. This article emphasizes the issues of data analytics and the obstacles posed by the smart-grid integrated energy sources. A comprehensive overview of mostly applied data processing approaches and a concise summary of widely used data management strategies, as well as a suggestion for potential recommendations on the issue. The article explains how electric utilities will benefit from combining current and emerging forms of data and data analytics and explore how data collection approaches may be utilized for power big-data distribution planning. © 2021 IEEE.","Big Data; Data Analytics; Distribution Management; Power Grid; Smart-Grid","Data Analytics; Data handling; Electric power distribution; Electric power transmission networks; Electric utilities; Energy efficiency; Information management; Data management strategies; Distribution utilities; Emerging technologies; Industrial sector; Intelligent energies; Intelligent grids; Performance assessment; Processing approach; Smart power grids","","","Institute of Electrical and Electronics Engineers Inc.","","978-172818583-5","","","English","Int. Conf. Intell. Technol., CONIT","Conference paper","Final","","Scopus","2-s2.0-85114885656"
"Wen S.; Luo G.","Wen, Shuang (57212454335); Luo, Guojie (24176161800)","57212454335; 24176161800","FPGA-accelerated Automatic Alignment for Three-dimensional Tomography","2020","Proceedings - 28th IEEE International Symposium on Field-Programmable Custom Computing Machines, FCCM 2020","","","9114842","172","176","4","3","10.1109/FCCM48280.2020.00031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087337875&doi=10.1109%2fFCCM48280.2020.00031&partnerID=40&md5=25ba242231f6de76c642112ffebfeb33","Peking University, School of Mathematical Sciences, China; Peking University, Department of Computer Science, China","Wen S., Peking University, School of Mathematical Sciences, China; Luo G., Peking University, Department of Computer Science, China","In the process of tomographic reconstruction, the attitude and center point of a specimen, from which the projection data are collected, suffer from misalignment due to mechanical imperfection and calibration error. Such misalignment leads to poor reconstruction quality. And effective automatic alignment approaches have been proposed. The alignment approaches are of good use for kinds of application scenarios such as X-CT and electron tomography. These scenarios demand not only high performance, but also that the component of automatic alignment can be integrated and upgraded in the whole solution. Thus, we propose an FPGA accelerator for state-of-the-art tomographic alignment algorithm. We first introduce a multi-ray access approach that modifies the order of data access for easier on-chip data management. Making use of BRAMs on FPGAs and effective local data management strategy, data reuse is reinforced, and data transfer latency with DRAM is covered by computation. Also, we introduce an FPGA-customized processing engine at a low cost to improve data throughput. Moreover, a streaming structure with multiple paralleled PEs further improves the performance of our algorithm. Experiments demonstrate that our accelerator achieves a 44. 5x speed-up for the state-of-the-art alignment on Xilinx ZCU102 over a 16-thread multicore CPU implementation, and a 1. 60x speed-up with 7. 8x energy reduction over an OpenCL implementation on Nvidia Titan V. © 2020 IEEE.","","Alignment; Computers; Data transfer; Electric impedance tomography; Field programmable gate arrays (FPGA); Information management; Alignment algorithms; Application scenario; Automatic alignment; Electron tomography; Mechanical imperfections; Reconstruction quality; Three-dimensional tomography; Tomographic reconstruction; Computerized tomography","","","Institute of Electrical and Electronics Engineers Inc.","","978-172815803-7","","","English","Proc. - IEEE Int. Symp. Field-Program. Cust. Comput. Mach., FCCM","Conference paper","Final","","Scopus","2-s2.0-85087337875"
